호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
3,326,압구정,14779991,69393,2198264,1825967,2160331,2147641,2168041,2059888,2219859
3,327,신사,14572836,68448,2169024,1827042,2113324,2078134,2178651,2023068,2183593
3,328,잠원,2716214,12781,381067,321120,395778,408528,422972,383888,402861
3,329,고속터미널(3),25526630,120811,3650330,3443565,3763343,3549653,3881177,3578839,3659723
3,330,교대(3),5213417,24494,749010,607125,775331,791819,790052,719918,780162
3,331,남부터미널,15018044,71023,2214428,1943181,2262545,2165890,2219109,2049974,2162917
3,332,양재,17759550,83803,2597380,2119325,2628926,2695317,2676691,2450801,2591110
3,333,매봉,4736086,22231,693514,563078,685371,719930,708979,652900,712314
3,334,도곡,2462639,11630,351438,288849,362532,382806,377713,341816,357485
3,335,대치,5277150,24759,771395,654803,781607,755131,793345,725059,795810
3,336,학여울,1212547,5752,157081,125017,195229,210726,189640,163414,171440
3,337,대청,4148415,19436,571540,489011,613628,629477,632760,581510,630489
3,338,일원,4221814,19785,598043,494352,611878,639272,646212,591257,640800
3,339,수서,7921328,37359,1138492,973848,1165731,1174262,1197004,1112665,1159326
3,340,가락시장(3),4187870,19786,620672,511518,614525,627073,628292,579121,606669
3,341,경찰병원,3274059,15415,489201,399875,478672,484162,488295,449864,483990
3,342,오금(3),2718123,12832,395701,328885,403750,409817,409250,375192,395528
4,409,당고개,5560571,26208,763049,671689,822913,824658,865253,796078,816931
4,410,상계,8596636,40592,1218046,1047758,1280228,1280573,1316187,1204302,1249542
4,411,노원(4),10143571,47868,1448020,1277272,1491990,1470385,1555107,1421222,1479575
4,412,창동,12850277,60638,1822685,1569148,1885470,1897946,1981158,1819021,1874849
4,413,쌍문,13283538,62750,1903477,1636755,1971643,1968371,2023597,1853930,1925765
4,414,수유,16259782,76867,2314976,2010122,2421202,2408135,2483909,2274587,2346851
4,415,미아,7109739,33729,981716,853650,1071340,1080129,1109346,1008880,1004678
4,416,미아사거리,12683518,59771,1772230,1541164,1862921,1882760,1961072,1798348,1865023
4,417,길음,9824939,46771,1320077,1136265,1528209,1530368,1572572,1378100,1359348
4,418,성신여대입구,10215896,48532,1384490,1220654,1578792,1540990,1620281,1439098,1431591
4,419,한성대입구,6861185,32762,894853,775125,1067756,1078998,1138471,974709,931273
4,420,혜화,17862921,84378,2581829,2159407,2639889,2570108,2791761,2529412,2590515
4,421,동대문(4),10658064,50208,1494669,1269751,1598543,1566363,1658929,1499387,1570422
4,422,동대문역사문화공원(4),9277728,43764,1282065,1136745,1401880,1346984,1438549,1314982,1356523
4,423,충무로(4),13445110,63801,1855398,1551567,2051306,2120086,2093675,1875877,1897201
4,424,명동,16865382,80501,2266949,2067171,2684048,2603612,2543968,2405036,2294598
4,425,회현,13473094,63661,1864182,1574625,2027233,2050713,2096872,1909038,1950431
4,426,서울역(4),7816140,36891,1105093,973842,1167990,1164404,1174031,1091847,1138933
4,427,숙대입구,6889004,32838,927726,771768,1083138,1082784,1095885,982234,945469
4,428,삼각지(4),2285545,10785,333610,278700,335793,341324,340800,321997,333321
4,429,신용산,7105952,33321,1027060,888748,1023705,1027037,1074620,990018,1074764
4,430,이촌,4208761,19849,608105,535407,574201,602981,674569,597460,616038
4,431,동작,1406826,6708,171284,150281,185405,232768,239439,235026,192623
4,432,이수(총신대입구),9706503,45807,1404567,1191936,1436416,1440133,1465073,1352794,1415584
4,433,사당(4),11865507,56176,1675815,1431677,1785052,1772952,1820438,1681962,1697611
4,434,남태령,612782,2912,85048,72707,94773,93815,96233,84473,85733
5,2511,방화,3079884,14493,432177,371334,455534,458270,471969,433895,456705
5,2512,개화산,2528377,11921,363637,307819,370598,376264,387034,352302,370723
5,2513,김포공항(5),3258068,15289,465341,422991,470063,456313,490558,462086,490716
5,2514,송정,3884232,18377,546355,472885,580064,584607,597512,544921,557888
5,2515,마곡,2701746,12695,392383,319349,393277,402877,417164,372860,403836
5,2516,발산,7840618,36867,1054706,927771,1163219,1186376,1213229,1127628,1167689
5,2517,우장산,6673966,31492,938218,797867,992976,1007521,1029314,934087,973983
5,2518,화곡,12411456,58502,1762766,1510610,1826195,1854362,1897859,1737139,1822525
5,2519,까치산(5),12645739,59690,1817426,1555466,1859925,1887870,1918957,1764109,1841986
5,2520,신정,5092341,24258,788905,667231,806103,724002,736211,668285,701604
5,2521,목동,8277788,38942,1157639,976467,1203845,1267078,1280640,1162888,1229231
5,2522,오목교,10705374,50429,1567401,1332284,1562584,1579163,1607208,1478943,1577791
5,2523,양평(5),2788591,13109,411799,338364,407124,420085,415409,379890,415920
5,2524,영등포구청(5),1618240,7616,236596,195725,234876,245065,244779,221432,239767
5,2525,영등포시장,4370783,20621,628936,534680,646291,643928,661901,616579,638468
5,2526,신길(5),1501415,7068,219200,179106,218144,226620,227442,208904,221999
5,2527,여의도(5),10429101,48867,1520078,1215250,1466667,1676743,1558283,1407977,1584103
5,2528,여의나루,5281429,25317,446600,412064,600016,1225440,1141649,756558,699102
5,2529,마포,6054218,28463,893455,734416,875591,912947,908349,826997,902463
5,2530,공덕(5),6145403,28849,882598,726470,890329,943601,932323,846275,923807
5,2531,애오개,3089918,14525,443783,368568,454514,467963,465742,428416,460932
5,2532,충정로(5),1911210,9003,269382,221244,284600,296050,295999,262140,281795
5,2533,서대문,7625434,35885,1063676,876003,1129617,1177062,1183192,1065606,1130278
5,2534,광화문,15146171,71326,2261748,1849368,2224345,2263873,2277814,2032825,2236198
5,2535,종로3가(5),7106478,33728,1107175,948003,1039216,996975,1058131,955167,1001811
